"CASE_STATUS","CASE_ORIGIN","CLOSED_DATE","CREATED_DATE","CASE_OWNER_TYPE","CUSTOMER_TYPE","PRODUCT_TYPE"
"Closed","Chat","2023-12-15 12:58:41.000000000","2023-12-11 23:18:45.000000000","Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2023-12-15 11:53:32.000000000","2023-12-11 17:37:00.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2023-11-30 13:37:31.000000000","2023-11-26 15:03:54.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
"Closed","Chat","2023-09-16 13:29:33.000000000","2023-09-13 02:18:26.000000000","Lightning Support Agent","Dasher","Android Tablet (DoorDash Owns)"
